Time (minutes),TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance,Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
344,45,50.16,50.3,45.68,45.6,85.12,85.1,92.82,92.8,89.68,59.79,49.48,50.37,52.3,21.33,203.1,-172.1,40.1,34.02,7.978,1.894,53.35,2.643,1.33,163.1,214.9,4.6,3.4,41.2,36.1,95.7,115.6,8.5,44.8,3.8,138.1,42.4,79.8,61,59,10.46,5.691,8.534,20,0,119.9,114.2,134.5,97.4,7.7,4.7,60,0,100,20,42,56,26,56.75,79.74,56.89,53.56,22.28,57.43,135.8
346,45,50.57,50.8,45.93,45.9,85.29,85.3,92.94,93,89.84,59.92,49.64,50.74,52.05,21.07,203.5,-172.5,41.91,33.56,9.893,1.539,54.09,2.724,1.291,163.2,216.7,4.7,3.2,41.2,36.3,96,116.1,8.8,45.1,3.9,138.1,42.1,80,61,59,18.44,10.07,8.534,20,0,120.2,114.2,135.5,98.4,7.5,4.9,60,0,100,20,42,56,30,56.79,79.9,57.47,54.13,21.88,71.21,136.3
348,45,50.65,50.6,46.09,45.8,85.21,84.9,92.98,92.8,89.72,60.16,49.89,50.82,53.14,22.29,201.9,-171.1,40.64,33.85,8.305,1.519,54.03,2.644,1.33,164,213.9,5.1,2.9,40.8,35.9,95.7,115.6,8.7,45.1,4.1,138.1,42.1,80.2,61,59,10.1,5.404,8.534,20,0,119.9,114.2,135,98.1,7.9,4.7,60,0,100,20,42,56,26,56.71,79.08,55.38,53.52,23.91,107.2,136.5
350,45,50.2,50.3,45.76,45.6,85.25,84.9,92.86,92.6,89.76,59.88,49.6,50.33,51.75,21.06,203.1,-172.4,39.69,34.35,6.504,1.158,53.25,2.621,1.342,163.1,214.7,4.6,3.1,41,36.1,95.7,115.6,8.5,44.8,3.8,138.4,42.7,80,61,59,10.87,5.973,8.534,20,0,119.9,114.2,135.5,98.8,7.8,4.7,60,0,100,20,42,56,26,56.67,79.86,55.58,52.74,21.8,54.91,135.5
352,45,50.28,50.4,45.8,45.8,85.21,84.9,92.94,92.8,89.8,59.79,49.52,50.49,52.92,21.47,205.3,-173.8,40.1,33.28,8.711,1.893,53.61,2.63,1.337,164.2,214.9,4.8,2.9,41,36.1,95.7,115.6,8.8,44.8,3.6,137.8,42.4,79.8,63,60,8.534,4.587,8.428,20,0,119.9,114.2,136,98.9,7.9,4.8,60,0,100,20,42,56,26,56.71,80.02,56.98,53.85,22.11,66.8,137.5
354,45,50.57,50.8,45.97,45.8,85.33,85.3,92.98,92.8,89.84,59.96,49.68,50.74,51.99,21.32,203,-172.3,41.74,33.72,9.568,1.546,54.1,2.713,1.296,163,217.8,4.7,3.2,41.2,36.3,96,116.1,8.8,45.1,3.9,138.1,42.1,79.8,61,59,18.05,9.875,8.534,20,0,120.2,114.2,135,97.8,7.9,4.9,60,0,100,20,42,56,30,56.67,79.9,57.26,54.05,22.03,71.5,135.9
356,45,50.57,50.6,46.01,45.8,85.29,85.1,92.98,92.6,89.76,60.08,49.81,50.66,52.57,22,202.8,-172.2,41.19,34.32,7.678,0.7999,53.09,2.728,1.289,164,216.8,4.8,3.1,41,36.1,95.7,115.6,8.7,45.1,3.9,138.1,42.1,78.8,61,59,13.08,7.075,8.534,20,0,119.9,114.5,134.5,97.6,7.7,4.8,60,0,100,20,42,56,26,56.67,79.45,55.09,53.27,23.19,101.3,136.2
358,45,50.12,50,45.64,45.4,85.29,86.3,92.86,93,89.76,59.88,49.52,50.25,51.38,21.02,202.8,-172.4,40.14,34.79,6.517,1.16,52.92,2.667,1.318,162.8,215.2,3.9,3.5,41.5,36.6,96.5,117.1,9.3,44.9,3.7,138.1,41.9,80.8,60,58,13.4,7.415,8.641,20,0,119.9,114.7,136,97.9,6.4,4.6,30,0,100,5,42,56,35,56.63,79.78,54.77,52.66,21.8,74.27,134.9
360,45,47.82,47.5,45.02,44.8,86.47,85.1,92.21,90.5,88.94,55.37,47.51,47.99,38.95,22.17,228.2,-211.4,25.13,22.34,4.322,1.53,43.05,2.052,1.713,163.1,215.5,3.8,1.7,41,36.1,92.2,108.7,4.8,45.6,4.8,143.6,51.4,73.3,50,48,-5.531,-4.039,9.8,20,0,120.2,114.7,133.5,96.4,5.4,2.7,30,0,100,5,42,56,20,56.63,76.5,49.81,49.26,26.78,103.7,147.2
362,45,47.21,47.2,44.86,44.9,85.25,84.7,89.87,88.9,87.67,54.06,47.02,47.46,31.29,14.87,227.4,-211,21.08,19.4,3.953,2.265,38.68,1.917,1.835,162.4,215.4,3.9,1.3,41,36.1,90.2,104.7,4.7,45.1,3.9,150.9,60.8,67.9,45,43,2.789,2.535,10.46,20,0,120.4,114.7,133.5,95.9,4.1,2.3,30,0,100,5,42,56,17,56.55,79.53,48.99,48.44,15.53,94.88,148.5
364,45,47.58,47.7,45.19,45.1,85.12,85.4,89.54,89.6,87.59,54.06,47.39,47.79,30.26,13.36,229.5,-212.6,21.35,19.67,3.569,1.888,40.28,1.863,1.887,164.3,214.4,3.3,1.9,41.8,36.9,91.5,107.2,5.6,45.3,3.5,155.4,64.7,70.3,47,45,8.963,8.425,10.19,20,0,120.9,114.7,134.5,96.5,4.2,2.6,30,0,100,5,42,56,24,56.59,81.7,49.24,48.69,12.77,85.66,150.2
366,45,47.46,47.5,45.11,44.8,85.33,84.9,89.91,89.6,87.76,54.02,47.27,47.67,31.1,14.63,228.8,-212.4,21.12,19.43,3.592,1.9,40.12,1.851,1.9,162.8,215.8,3.3,1.4,41.5,36.6,91,106.2,5.6,45.1,3.5,155.4,64,70.1,47,45,5.051,4.62,10.19,20,0,121.7,115.1,135,97,4.7,2.6,30,0,100,5,42,56,20,56.63,81.09,49.16,48.61,14.36,86.21,149
368,45,47.41,47.5,45.02,44.9,85.16,84.9,89.63,89.2,87.55,53.94,47.23,47.58,30.29,14.09,228.2,-212,21.49,19.8,3.224,1.532,40.26,1.877,1.873,163,215.8,3.4,2,41.6,36.6,91,106.2,5.7,45.3,3.6,156.2,64.4,70.1,47,45,9.305,8.737,10.19,20,0,122.2,115.6,134,96.4,4.3,2.6,30,0,100,5,42,56,20,56.71,81,49.03,48.48,13.92,77.38,148.8
370,45,47.29,47.3,44.98,44.8,85.29,84.8,89.75,89.8,87.72,53.86,47.14,47.5,30.37,13.84,230.5,-214,20.75,19.42,3.223,1.9,40.32,1.809,1.943,163.4,215.8,3.2,1.4,41.6,36.7,91,106.2,5.6,45.1,3.5,156.2,64.8,69.5,47,45,6.482,6.07,10.19,20,0,122.5,115.7,135,97.3,4.8,2.5,30,0,100,5,42,56,17,56.75,81.45,48.99,48.4,13.45,77.36,149.6
372,45,47.25,47.3,44.9,44.9,85.21,84.9,89.71,89.4,87.67,53.9,47.06,47.5,30.6,13.82,229.5,-212.8,21.13,19.43,3.962,2.269,40.2,1.847,1.903,163.1,215.9,3.2,1.8,41.6,36.7,91.2,106.7,5.9,45.1,3.5,156.2,65,70,47,45,6.902,6.416,10.19,20,0,123,116,133.5,95.5,4.6,2.5,30,0,100,5,42,56,20,56.75,81.05,48.87,48.32,13.65,95.08,149.3
374,45,47.25,47.3,45.07,45.1,85,84.5,89.26,88.7,87.39,53.82,47.1,47.5,29.17,12.81,230,-213.7,19.38,18.08,3.543,2.238,39.06,1.744,2.016,164.4,212.9,3.5,1.8,41.6,36.7,90.5,105.2,5.7,45.3,3.8,157,66.1,68.5,46,44,4.661,4.545,10.32,20,0,123.2,116.4,134,96,4.2,2.2,30,0,100,5,42,56,17,56.79,80.76,48.91,48.36,12.83,85.04,151.5
376,45,47.58,47.7,45.23,45.1,85.12,84.9,89.46,89.4,87.51,54.02,47.43,47.79,29.66,13.34,229,-212.6,21.08,19.76,3.217,1.896,39.89,1.857,1.893,164.1,215.4,3.3,1.6,41.8,36.9,91,106.2,5.9,45.4,3.4,157.8,67.2,69.8,47,45,9.711,9.312,10.19,20,0,123.7,116.7,135.5,97.3,4.6,2.6,30,0,100,5,42,56,20,56.83,81.78,49.2,48.61,12.84,77.22,149.9
378,45,47.62,47.7,45.27,45.1,85.12,84.8,89.5,89.2,87.51,54.06,47.43,47.79,29.92,13.61,228.5,-212.2,20.98,19.3,3.203,1.522,39.87,1.85,1.9,164,214.4,3.5,1.8,41.8,36.9,91,106.2,5.7,45.3,3.5,157.8,66.4,69.1,47,45,8.456,8.039,10.19,20,0,123.7,116.9,135,97,4.4,2.4,30,0,100,5,42,56,17,56.83,80.96,49.24,48.65,13.54,76.88,150.1
380,45,47.62,47.7,45.23,45.3,85.21,84.7,89.63,89.4,87.63,54.06,47.43,47.79,30.09,13.56,228.5,-212,21.39,19.7,3.209,1.525,39.86,1.887,1.863,163.4,214.8,3.1,1.3,41.8,37.1,91,106.2,5.9,45.4,3.6,157,66,68.6,47,45,9.266,8.759,10.19,20,0,124.2,116.9,134.5,96.5,4.6,2.6,30,0,100,5,42,56,17,56.88,81.37,49.24,48.69,13.29,77.02,149.3
382,45,47.62,47.7,45.27,45.3,85.21,84.9,89.54,89.4,87.63,54.06,47.47,47.83,29.52,13,228.4,-211.9,21.07,19.75,3.217,1.896,39.88,1.858,1.893,163.3,215.4,3.3,1.6,42,37.1,91,106.2,5.9,45.4,3.4,157.4,66.4,69.1,47,45,10.2,9.83,10.19,20,0,124.5,117.4,133.5,95.6,4.5,2.4,30,0,100,5,42,56,20,56.92,81.13,49.32,48.73,12.89,77.21,149.2
384,45,47.62,47.8,45.27,45.3,85.08,84.9,89.5,89.2,87.51,54.06,47.47,47.83,30.15,13.59,228.2,-211.6,21,19.68,3.205,1.889,39.92,1.849,1.901,163.7,214.6,3.5,2.3,41.8,36.9,91.5,107.2,5.9,45.4,3.6,157.4,65.8,69.1,47,45,7.726,7.288,10.19,20,0,124.5,117.4,135.5,97.6,4.1,2.5,30,0,100,5,42,56,20,56.88,81,49.32,48.73,13.52,76.93,149.6
386,45,47.62,47.7,45.27,45.3,85.21,84.9,89.63,89.4,87.59,54.06,47.47,47.79,30.14,13.87,228.6,-212.4,21.02,19.7,2.842,1.525,40,1.847,1.903,163.7,214.8,3.2,1.6,42.1,37.2,91,106.2,6.2,45.4,3.6,157,65.6,69.1,47,45,7.935,7.487,10.19,20,0,124.5,117.6,134,97.5,4.5,2.6,30,0,100,5,42,56,20,56.92,81.29,49.28,48.73,13.65,68.21,149.5
388,44,47.58,47.7,45.23,45.3,85.16,84.3,89.58,89.6,87.59,54.06,47.43,47.79,29.88,13.47,226.6,-210.2,21.01,19.69,3.207,1.891,42.76,1.728,2.035,162.2,214.7,3.6,1.6,41.5,36.6,91.2,106.7,6.2,45.4,3.9,156.6,65.8,71,48,46,11.59,11.03,10.06,20,0,124.5,117.6,134,96.9,5.3,2.6,70,0,100,21.38,42,56,20,56.92,81.17,49.4,48.69,13.33,76.98,148.1
390,44,49.95,51.1,46.01,45.9,81.81,80.7,88.68,88.9,86.45,59.06,49.44,50.41,46.59,15.16,185.5,-154.1,35.45,30.82,8.739,4.105,53,2.352,1.495,162.6,215.6,5.3,4.1,40.8,35.9,93,110.2,9.2,45.4,4.6,148.7,55.3,74.4,63,60,13.83,8.446,8.428,20,0,124.7,118.1,133.5,96.6,8.1,5,70,0,100,29.66,42,56,20,56.92,79.61,56.61,53.27,16.04,62.9,135.6
392,44,51.71,52.4,45.84,45.9,81.15,81,90.65,91,88.17,64.18,51.03,52.01,64.44,16.85,162.8,-115.2,52.49,46.41,8.698,2.622,59.63,3.095,1.136,162.8,214.6,5.3,4,40.6,35.6,95.3,114.7,10.8,44.8,4.2,134.1,38.5,78.6,70,67,17.61,7.771,7.715,20,0,124.5,117.8,135.5,98.9,10,6.5,70,0,100,37.93,42,56,20,56.88,80.59,58.16,55.03,17.05,66.7,116.4
394,44,55.11,56.9,47.52,48,76.65,74.6,89.46,88,86.49,71.34,54.64,55.69,86.18,20.01,101.9,-35.69,68.22,63.95,9.479,5.212,67.01,3.579,0.9823,161.4,215.7,6.8,6.2,41.2,36.3,94,112.2,12,45.4,4.4,127.4,32.8,76.1,79,76,3.863,1.275,6.86,20,0,123.7,117.8,134.5,97.9,13.4,8.9,60,30,100,70,44,56,30.21,56.83,74.66,61.48,58.27,26.94,70.83,60.07
396,44,56.95,57.4,48.1,48,74.89,75,89.26,89.2,85.67,72.57,56.19,57.12,96.86,24.2,88.29,-15.63,79.43,72.6,8.353,1.528,71.49,3.906,0.9001,161.8,215.2,7.4,6.3,40.4,35.4,95.5,115.2,13.9,45.3,4.7,121.2,25.2,79.6,84,80,10.2,2.995,6.496,20,0,122.7,117.4,135.5,99.1,14.3,9.6,60,30,100,70,44,56,33.54,56.67,74.99,63.12,60.03,31.71,64.91,28.75
398,44,57.08,57.2,47.85,47.3,75.22,75.2,90.28,90.1,86.24,72.98,56.28,57.17,101,27.08,88.91,-14.99,82.4,75.23,7.954,0.79,74.53,3.887,0.9046,160.9,214.3,7.1,6.4,40.4,35.4,96.5,117.1,13.8,44.8,4.2,120.7,23.9,81.7,88,84,9.119,2.568,6.14,20,0,122,116.7,135,99.1,15.1,9.7,60,30,100,70,44,56,37.86,56.59,74.17,63.12,60.15,36.98,64.37,24.75
400,44,56.83,56.8,47.28,47,75.34,75.4,90.77,90.7,86.61,73.02,55.99,56.84,103,27.79,90.72,-15.48,85.94,78.36,7.644,0.06012,76.7,3.94,0.8924,160.2,215.9,6.7,6.3,40.3,35.3,97,118.1,14,44.3,4,120.7,23.7,83,91,87,16.64,4.592,5.877,20,0,120.7,116,135.5,99.9,15.5,9.8,60,30,100,70,44,56,38.18,56.51,73.92,62.91,59.91,38.3,61.02,21.82
402,44,56.5,56.5,46.79,46.6,75.46,75.4,91.14,91,86.98,73.14,55.74,56.59,104.9,27.84,92.53,-15.5,86.72,79.92,7.583,0.7899,78.89,3.865,0.9098,160.5,214.1,6.1,6.5,40.1,35.1,97.5,119.1,14,43.8,3.5,120.7,23.2,85,93,89,15.08,4.09,5.704,20,0,119.9,115.3,134.5,98.7,15.6,10.1,60,30,100,70,44,56,38.5,56.47,74.04,62.59,59.62,38.01,61.36,21.87
404,44,56.14,56.3,46.38,46.1,75.5,75.4,91.51,91.4,87.18,73.1,55.33,56.18,107.3,29.01,94.42,-16.09,87.72,80.51,7.639,0.4282,80.22,3.845,0.9145,160.9,215.7,6.3,6.6,39.8,34.8,98,120.1,14.3,43.6,3.6,120.9,23.2,85.3,95,91,11.26,2.983,5.533,20,0,119.2,114.9,134,98.9,16,10.2,60,30,100,70,44,56,38.83,56.38,73.96,62.14,59.25,39.61,63.58,23.71
406,44,55.89,56,45.93,45.6,75.46,75.4,91.63,91.6,87.26,73.06,55.01,55.94,109,29.44,95.74,-16.18,89.67,81.71,8.384,0.4281,81.71,3.858,0.9113,161.8,216,6.4,6.6,39.4,34.5,98.2,120.6,13.9,43,3.5,121.5,23.5,86,97,93,13.74,3.586,5.363,20,0,118.8,114.5,136.5,101.8,16.2,10.2,70,30,100,70,44,56,39.15,56.38,73.92,61.93,58.97,40.29,67.85,23.7
408,44,55.69,55.8,45.84,45.6,75.46,75.4,91.63,91.6,87.31,73.06,54.88,55.81,108.3,28.97,95.38,-16.07,87.88,80.72,8.32,1.157,81.27,3.802,0.9248,160.7,214.3,6.2,6.1,39.4,34.5,97.7,119.6,14.2,42.9,3.5,121.2,23.5,85.8,97,93,9.537,2.505,5.363,20,0,118.1,114,135,100.2,16.2,10.2,70,30,100,70,44,56,39.47,56.34,73.92,61.81,58.84,39.56,67.33,24.71
410,44,55.6,55.8,45.72,45.6,75.38,75.4,91.55,91.2,87.26,72.98,54.84,55.77,108.6,28.78,95.93,-16.12,88.78,81.94,8.37,1.531,81.27,3.841,0.9154,161.2,215.6,6.2,6.5,39.4,34.5,97.7,119.6,13.9,42.9,3.7,121.5,23.8,85.8,97,93,11.63,3.045,5.363,20,0,117.6,113.6,134.5,99.7,15.8,10,70,30,100,70,44,56,39.79,56.3,73.92,61.69,58.72,39.2,67.74,23.5
412,44,55.52,55.8,45.72,45.4,75.34,75.2,91.55,91.2,87.14,72.94,54.8,55.69,108.5,29.5,95.05,-16.06,88.17,81.69,8.014,1.533,81.19,3.818,0.9209,160.6,215.9,6,6.5,39.4,34.5,97.7,119.6,14.3,42.9,3.8,121.2,23.5,85.9,96,92,9.732,2.551,5.448,20,0,117.4,113.3,137,102.5,15.8,10.4,70,30,100,70,44,56,40.11,56.26,73.92,61.52,58.68,40.09,67.65,22.58
414,44,55.48,55.6,45.64,45.4,75.34,75.2,91.51,91.2,87.14,72.86,54.72,55.65,107.8,29.1,95.2,-16.54,87.81,81.02,8.313,1.52,81.01,3.811,0.9225,159.9,214.1,6.2,6.3,39.1,34.2,97.5,119.1,13.8,42.7,3.5,121.5,23.7,85.4,96,92,10.87,2.869,5.448,20,0,117.1,112.9,134.5,99.7,16,10.2,70,30,100,70,44,56,40.44,56.26,73.84,61.56,58.64,39.74,68.22,23.82
416,44,55.48,55.6,45.64,45.6,75.26,75.2,91.47,91.2,87.14,72.86,54.72,55.65,108.8,29.04,95.9,-16.11,88.61,81.76,8.389,1.534,81.03,3.845,0.9144,161.1,216.1,6.4,6.5,39.2,34.3,97.7,119.6,14.2,42.7,3.5,120.9,23.5,85.1,96,93,9.936,2.597,5.363,20,0,116.9,112.4,136,100.9,16,10,70,30,100,70,44,56,40.76,56.22,73.96,62.42,58.88,39.29,56.89,23.76
418,44,55.69,56,45.8,45.8,75.26,76,91.43,91.2,87.06,72.86,54.8,55.81,108.2,29.21,95,-16.05,88.72,80.78,9.1,1.163,78.39,3.979,0.8835,160.5,215.5,6,6.5,39.8,34.8,97.5,119.1,14,43,3.2,120.9,23.4,84.3,92,88,10.07,2.647,5.791,20,0,116.9,112.4,132.5,97.4,14.6,10.2,70,0,100,25,42,56,53,56.22,73.8,62.71,59.25,39.88,63.18,24.02
420,44,51.3,50.1,44.45,43.4,80.95,81,92.61,92.5,87.02,62.33,50.13,51.15,78.85,37.82,166.8,-125.8,61.24,50.78,9.059,-1.405,64.74,3.326,1.057,162.2,214.5,4.1,4.5,39.5,34.6,97,118.1,10.2,42.5,3,124.7,28.2,82.5,75,72,2.817,1.016,7.233,20,0,116.2,112.2,134.5,98.6,11.5,6.5,90,0,100,25,42,56,53,56.1,70.44,58.86,55.24,63.28,60.04,112.8
422,44,49.63,50.4,44.94,45.6,79.06,77,87.66,84.7,83.99,60.41,48.74,50.12,57.97,24.76,159,-125.8,42.2,34.23,12.46,4.487,48.54,3.057,1.15,161.8,216.3,6.4,3.3,39.2,34.3,88,100.8,4.1,43.8,4.7,128.7,40.7,66.5,54,52,-6.914,-3.392,9.315,20,0,116.2,112,132,97.9,7.9,4.6,70,0,100,25,42,56,53,55.93,68.48,57.67,53.97,47.38,80.73,127
424,44,49.63,49,44.04,43.2,76.65,76.7,86.51,85.8,81.7,59.06,48.58,49.63,66.79,32.61,153.3,-119.1,49.56,40.26,9.361,0.05878,49.34,3.532,0.9955,162.5,213,2.6,2.8,40.6,35.6,88.6,101.8,7.8,42.9,2.3,125.7,36.6,66,56,54,-11.23,-4.781,9.084,20,0,116.4,111.8,133.5,96.4,9.1,5.6,90,0,100,25,42,56,53,56.22,68.02,57.47,53.89,66.31,62.76,119.8
426,44,49.38,49.8,44.74,44.8,75.26,75,83.4,82.7,79.89,58.52,48.5,49.67,55.04,23.7,144.4,-113,41.68,33.74,10.57,2.633,47.82,3.064,1.147,162.2,215.5,4.4,3.6,40.3,35.3,86.3,97.8,7.9,43.6,3.4,126.6,40.3,62.5,54,52,0.8501,0.4392,9.315,20,0,116.4,112,131.5,95.2,7.7,5,80,0,100,25,42,56,38,56.75,68.72,57.18,53.6,47.53,70.89,124.3
428,44,49.5,49.5,44.7,44.4,75.38,75.6,83.65,83.3,80.18,58.57,48.58,49.67,55.9,23.44,146.1,-113.7,42.88,34.62,9.775,1.521,47.9,3.147,1.117,162.2,214.2,4,3.7,40.4,35.4,86.6,98.8,8.3,43.6,3.2,125.5,38.9,63.4,55,53,2.125,1.081,9.199,20,0,116,111.6,131.5,95.2,7.9,5.1,90,0,100,25,42,56,47,57.08,69.74,57.14,53.6,44.41,66.29,123.8
430,44,49.46,49.6,44.7,44.4,75.46,75.4,83.57,83.2,80.18,58.57,48.54,49.67,54.76,22.87,146,-114.1,42.8,34.49,10.21,1.898,47.68,3.156,1.114,162.1,215.6,4.3,3.4,40.3,35.3,86.6,98.3,8.5,43.8,3.7,125.7,39.1,63,54,52,5.636,2.928,9.315,20,0,116,111.6,132,95.6,7.8,5,90,0,100,25,42,56,42,57.37,69.74,57.18,53.64,44.34,69.23,123.8
432,44,49.5,49.6,44.74,44.6,75.42,75.4,83.48,83.2,80.14,58.57,48.58,49.67,54.39,22.55,145.5,-113.7,42.59,34.32,9.793,1.524,47.8,3.133,1.122,161.9,214.5,4.5,3.4,40.3,35.3,86.6,98.3,8.3,43.6,3.5,125.7,39.4,63.7,54,52,6.301,3.295,9.315,20,0,116,111.6,130.5,94.4,7.8,4.8,80,0,100,25,42,56,42,57.57,69.79,57.18,53.64,44.32,66.41,123.7
434,44,49.54,49.6,44.74,44.6,75.42,75.4,83.48,83.2,80.18,58.57,48.58,49.71,54.42,22.29,145.9,-113.7,42.98,34.34,10.17,1.524,47.98,3.15,1.116,162,214.7,4.7,3.7,40.1,35.1,86.9,98.8,8.3,43.6,3.3,125.7,39.1,63.7,54,52,7.755,4.052,9.315,20,0,115.7,111.3,132.5,95.6,8,5.2,80,0,100,25,42,56,42,57.78,69.79,57.3,53.68,44.55,67.38,123.8
436,44,49.58,49.6,44.74,44.6,75.5,75.6,83.61,83.3,80.3,58.69,48.62,49.75,54.66,22.28,145.8,-113.4,43.5,34.83,10.2,1.529,47.84,3.197,1.1,161.9,215.4,4.7,3.3,40.1,35.1,86.6,98.3,8.3,43.6,3.3,126,39.4,63.7,54,52,8.603,4.476,9.315,20,0,116,111.3,132.5,96.4,7.7,4.8,80,0,100,25,42,56,47,57.94,69.99,57.22,53.68,44.37,69.18,123.2
438,44,49.58,49.6,44.78,44.6,75.58,75.4,83.57,83.3,80.26,58.61,48.62,49.75,54.28,22.46,147.3,-115.4,43.08,34.42,10.19,1.527,48.13,3.146,1.117,163.2,215.1,4.5,3.9,40.1,35.3,87.2,99.3,8.3,43.8,3.3,125.7,38.5,63.7,54,52,8.746,4.583,9.315,20,0,115.7,111.3,130.5,94.4,7.7,4.8,80,0,100,25,42,56,42,58.06,69.95,57.22,53.68,45.35,69.09,125.1
440,44,49.54,49.6,44.74,44.6,75.54,75.4,83.61,83.3,80.3,58.57,48.66,49.71,54.26,22.22,146.3,-114.2,42.93,35.03,9.421,1.522,47.93,3.149,1.117,161.5,214.4,4.5,3.4,40.3,35.3,86.9,98.8,8.6,43.8,3.5,126,39.1,63.4,54,52,8.106,4.249,9.315,20,0,115.7,111.3,130.5,94.2,7.9,4.8,80,0,100,25,42,56,42,58.19,69.95,57.22,53.72,45.34,64.64,122.8
442,44,49.54,49.8,44.74,44.8,75.58,75.6,83.61,83.3,80.34,58.65,48.62,49.71,54.4,22.12,147.1,-114.8,42.89,34.63,9.777,1.521,48.13,3.133,1.122,162.7,214.2,4.3,3.9,40.3,35.3,87.2,99.3,8.6,43.6,3,126,38.8,64,54,52,7.647,3.998,9.315,20,0,115.7,111.3,132.5,95.9,7.7,5.2,80,0,100,25,42,56,47,58.19,70.15,57.1,53.64,44.35,67.87,124.4
444,44,49.5,49.6,44.7,44.6,75.5,75.6,83.57,83.3,80.26,58.65,48.58,49.67,54.72,22.41,146.7,-114.4,42.85,34.6,9.77,1.52,47.98,3.141,1.12,162.9,214,4.3,3.3,40.3,35.3,86.6,98.3,8.6,43.8,3.5,126,38.8,63.5,54,52,6.255,3.251,9.315,20,0,115.6,111.3,132,95.4,7.9,5,80,0,100,25,42,56,47,58.27,69.87,57.14,53.6,46.37,66.26,124.4
446,44,49.5,49.6,44.7,44.6,75.5,75.4,83.57,83.3,80.26,58.57,48.54,49.67,54.51,22.32,146.6,-114.5,43.26,34.56,10.23,1.534,47.93,3.173,1.108,162.2,216.1,4.3,3.6,40.3,35.3,86.9,98.8,8.8,43.8,3.5,125.7,38.8,63.5,54,52,8.388,4.377,9.315,20,0,115.6,111.1,130.5,94.2,8.1,5.2,80,0,100,25,42,56,42,58.31,70.03,57.14,53.6,45.71,69.38,124
448,45,49.67,49.6,44.78,44.8,75.62,77.1,83.61,83.7,80.3,58.65,48.66,49.84,53.75,22.24,145.8,-114.3,43.95,34.9,10.59,1.533,48.06,3.216,1.093,161.6,215.8,4.4,4.3,40.4,35.4,88,100.8,9.6,43.9,3.6,125.7,37.5,65.5,54,52,13.62,7.209,9.315,20,0,115.7,111.1,131.5,95.1,6.4,4.8,20,0,100,10,42,56,38,58.35,70.03,58.08,54.13,45.69,64.36,122.9
450,45,48.19,48.5,46.05,45.8,77.18,76,81.68,80.8,79.44,54.39,47.88,48.49,30.42,15.13,169.3,-154,19.19,16.4,5.407,2.624,40.08,1.683,2.089,162.2,214.8,4.4,2.7,41.6,36.6,83.2,92.3,4.6,44.6,3.1,138.7,55.5,56.1,43,41,0.566,0.5291,10.74,20,0,115.6,110.9,130,92.9,4.8,2.6,10,0,100,10,42,56,38,58.43,70.36,49.4,49.51,30.44,129.8,146.5
452,45,47.62,47.3,45.15,44.8,75.99,75.9,80.74,80.4,78.17,53.61,47.47,47.75,32.09,17.34,166,-151.3,22.18,20.86,2.482,1.161,36.71,2.124,1.656,162.2,215.4,3.3,2.2,41.6,36.7,81.8,91.3,4.3,44.9,3.2,144,62.5,54.7,43,41,1.851,1.641,10.74,20,0,116.2,111.6,130.5,92.6,4.7,2.4,20,0,100,10,42,56,32,58.43,70.15,48.95,48.57,35.51,59.57,141.8
454,45,47.41,47.5,45.48,45.4,75.09,74.7,78.9,78.7,77.23,53.12,47.31,47.67,25.7,11.24,162.8,-148.4,17.38,16.43,3.213,2.262,33.99,1.798,1.955,162.1,215.1,4.2,1.7,41.2,36.3,80.4,87.4,4.8,45.4,4.2,148.7,68.3,50.6,39,38,4.74,5.245,11.2,20,0,116.7,111.8,130.5,93.4,3.8,2.1,20,0,100,10,42,56,20,58.47,70.85,48.83,48.4,21.8,77.12,145.7
456,45,47.62,47.7,45.52,45.4,75.22,75,79.14,79.1,77.44,53.16,47.47,47.79,26.63,11.56,164.6,-149.5,18.77,17.46,2.835,1.521,34.12,1.934,1.818,162.7,214.2,3.9,1.9,41.5,36.6,81,88.4,4.7,45.4,3.9,150.9,70.2,51.3,39,38,6.474,6.914,11.2,20,5,117.4,112,129.5,91.5,4.1,2.3,20,0,100,10,42,56,23,58.51,72.08,48.87,48.4,20.46,68.03,145.4
458,45,47.62,47.7,45.52,45.4,75.17,75,79.1,79.1,77.44,53.16,47.47,47.79,26.61,11.28,164.4,-149.1,18.93,17.6,2.858,1.533,34.15,1.948,1.804,162.5,216,3.6,1.9,41.8,36.9,81,88.4,4.8,45.6,4,150.9,70.3,51.7,39,38,7.154,7.647,11.2,20,5,117.8,112.7,129,93.6,4.1,2.3,20,0,100,10,42,56,23,58.55,71.59,49.07,48.57,20.77,68.6,145.1
